Year,Unnamed: 0,GEOID,TTI,PTI,BTI,Peak,w_geocode,Population,Jobs,Jobs_Capita,Severity,Variability
2020,819,150030065001,1.1141489352507006,1.3168235154037908,0.0160881111719604,am,150030065001.0,3210.0,147.0,21.836734693877553,1.2154862253272456,1.1819097732274773
2020,820,150030067031,1.0585519116167674,1.1851731026567374,0.0610915880544136,am,150030067031.0,1695.0,1865.0,0.9088471849865952,1.1218625071367523,1.1196173656203374
2020,821,150030067041,1.0590999721480243,1.312448451079084,0.0725815197647379,am,150030067041.0,1919.0,40.0,47.975,1.1857742116135541,1.2392111090487787
2020,822,150030067042,1.072024366644331,1.4719743802752543,0.0551996199582403,am,150030067042.0,270.0,111.0,2.4324324324324325,1.2719993734597925,1.3730792191625771
2020,823,150030067043,1.0476862302483072,1.108436794582393,0.0312764332557108,am,150030067043.0,1280.0,13.0,98.46153846153847,1.07806151241535,1.0579854565041744
2020,824,150030067044,1.0743941235957852,1.1791634534217423,0.003605828635851,am,150030067044.0,1027.0,21.0,48.904761904761905,1.126778788508764,1.0975148016216942
2020,825,150030067045,1.236319062173279,2.2738616238610807,0.1094191855468232,am,150030067045.0,2190.0,58.0,37.758620689655174,1.7550903430171798,1.839219092734803
2020,826,150030068111,1.0668538678123256,1.3318528058933463,0.0365423673967304,am,150030068111.0,1948.0,2512.0,0.7754777070063694,1.199353336852836,1.2483929112282486
2020,827,150030068121,1.236256086970935,1.684532869842474,0.0769801526055424,am,150030068121.0,1205.0,132.0,9.128787878787879,1.4603944784067044,1.3626083524247015
2020,828,150030069001,1.6668349153407356,2.861427655660836,0.3096648947536413,am,150030069001.0,792.0,3.0,264.0,2.2641312855007856,1.7166832955835345
2020,829,150030069003,1.862497646654683,3.438527261798565,0.2413475744395391,am,150030069003.0,1500.0,115.0,13.043478260869565,2.6505124542266243,1.8461914665903931
2020,830,150030070011,1.2984129761234826,1.7929445158730266,0.0307796894299144,am,150030070011.0,1159.0,821.0,1.4116930572472595,1.5456787459982546,1.3808738427938452
2020,831,150030070012,1.3597576700829483,2.0467330359489933,0.0549771224394026,am,150030070012.0,709.0,2.0,354.5,1.7032453530159708,1.505218967306239
2020,832,150030070021,1.6244205088226913,3.124760756762365,0.7377802202664687,am,150030070021.0,1005.0,22.0,45.68181818181818,2.374590632792528,1.9236156769696626
2020,833,150030070022,1.359897734641568,2.082264729545209,0.1209429025580184,am,150030070022.0,1703.0,60.0,28.383333333333333,1.7210812320933884,1.5311921451902686
2020,834,150030074001,1.5112115840082,2.644284208211352,0.2356761666921764,am,150030074001.0,3314.0,2621.0,1.2644028996566197,2.077747896109776,1.749777619622193
2020,835,150030075041,1.2155330833849136,1.715862744435367,0.1010312610806765,am,150030075041.0,1499.0,66.0,22.71212121212121,1.4656979139101403,1.411613363625758
2020,836,150030075042,1.536698352030409,2.8978047241630605,0.0627531663186215,am,150030075042.0,1794.0,12.0,149.5,2.217251538096735,1.8857342563908193
2020,837,150030075071,1.0931992106801232,1.2561259034679837,0.2272498412005029,am,150030075071.0,1371.0,52.0,26.365384615384617,1.1746625570740534,1.1490365993646274
2020,838,150030075072,1.071601193613888,1.2333735528731495,0.0431443871497496,am,150030075072.0,591.0,2153.0,0.2745006967022759,1.1524873732435188,1.1509632130155598
2020,839,150030075074,1.0748021676663346,1.2086735116807874,0.1109093100131023,am,150030075074.0,2182.0,2947.0,0.7404139803189684,1.141737839673561,1.1245544045609073
2020,840,150030075081,1.082365364308342,1.7522175290390698,0.0925141250812602,am,150030075081.0,1552.0,8.0,194.0,1.4172914466737059,1.6188780487804872
2020,841,150030075084,1.0697043645681563,1.1806893546264925,0.075754585213391,am,150030075084.0,2257.0,449.0,5.026726057906459,1.1251968595973243,1.103752956176019
2020,842,150030075085,1.0639472816860651,1.1849625544695424,0.0729400033240327,am,150030075085.0,1103.0,16.0,68.9375,1.1244549180778036,1.1137417942284709
2020,843,150030077012,1.1456983859862335,1.4563688734997242,0.0713017155094284,am,150030077012.0,1562.0,1093.0,1.4290942360475756,1.301033629742979,1.2711625427019007
2020,844,150030077013,1.233736064864138,1.7085898218727698,0.0318681730084382,am,150030077013.0,1064.0,77.0,13.818181818181818,1.4711629433684539,1.3848908778239564
2020,845,150030077021,1.05973654072949,1.3353376641291266,0.0097267156575531,am,150030077021.0,1160.0,19.0,61.05263157894737,1.1975371024293082,1.26006569822526
2020,846,150030078074,1.0359513274336285,1.100158027812895,0.0086927783487112,am,150030078074.0,1027.0,12.0,85.58333333333333,1.0680546776232618,1.0619784913431467
2020,847,150030078075,1.0359513274336285,1.100158027812895,0.0086927783487112,am,150030078075.0,1665.0,49.0,33.97959183673469,1.0680546776232618,1.0619784913431467
2020,848,150030078081,1.2191392754743036,1.744640821811021,0.0166294988182894,am,150030078081.0,1648.0,2108.0,0.7817836812144212,1.4818900486426623,1.4310430784311106
2020,849,150030078082,1.223349626143733,1.8202672815029963,0.137804657995636,am,150030078082.0,1262.0,39.0,32.35897435897436,1.5218084538233647,1.4879370889586805
2020,850,150030078083,1.1305567486340324,1.4824905854674293,0.0110477762260245,am,150030078083.0,599.0,4845.0,0.12363261093911249,1.306523667050731,1.3112925001408486
2020,851,150030078122,1.0679929855542736,1.3841366331520697,0.0322816795691385,am,150030078122.0,1373.0,14.0,98.07142857142857,1.2260648093531716,1.2960165954963851
2020,852,150030080011,1.3194866989242682,2.1434953747872445,0.0164113724396694,am,150030080011.0,1836.0,893.0,2.0559910414333706,1.7314910368557563,1.6244918395424237
2020,853,150030080012,1.3062177006272535,2.109942161675942,0.0255252203173838,am,150030080012.0,730.0,365.0,2.0,1.7080799311515977,1.6153066679947266
2020,854,150030080021,1.137969882966624,1.6478979383037389,0.0290346909494217,am,150030080021.0,1861.0,3215.0,0.5788491446345256,1.3929339106351815,1.4481032960272735
2020,855,150030080091,1.1186017677878657,1.488577370715513,0.0119071901029117,am,150030080091.0,898.0,622.0,1.4437299035369775,1.3035895692516895,1.3307482730510134
